week,dmanum,lr_spd,lr_grp,lr_imp,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
4/8/2013,862,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8
4/15/2013,510,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5
4/15/2013,541,5791,73.8,179394.516,5791,73.8,179394.516,5791,73.8,179394.516,5791,73.8,179394.516,5791,73.8,179394.516,5791,73.8,179394.516,5791,73.8,179394.516,5791,73.8,179394.516,5791,73.8,179394.516,5791,73.8,179394.516,5791,73.8,179394.516,5791,73.8,179394.516,5791,73.8,179394.516,5791,73.8,179394.516,5791,73.8,179394.516,5791,73.8,179394.516,5791,73.8,179394.516,5791,73.8
4/15/2013,566,14586,93.3,335016.975,14586,93.3,335016.975,14586,93.3,335016.975,14586,93.3,335016.975,14586,93.3,335016.975,14586,93.3,335016.975,14586,93.3,335016.975,14586,93.3,335016.975,14586,93.3,335016.975,14586,93.3,335016.975,14586,93.3,335016.975,14586,93.3,335016.975,14586,93.3,335016.975,14586,93.3,335016.975,14586,93.3,335016.975,14586,93.3,335016.975,14586,93.3,335016.975,14586,93.3
4/15/2013,588,4486,93.3,147609.93,4486,93.3,147609.93,4486,93.3,147609.93,4486,93.3,147609.93,4486,93.3,147609.93,4486,93.3,147609.93,4486,93.3,147609.93,4486,93.3,147609.93,4486,93.3,147609.93,4486,93.3,147609.93,4486,93.3,147609.93,4486,93.3,147609.93,4486,93.3,147609.93,4486,93.3,147609.93,4486,93.3,147609.93,4486,93.3,147609.93,4486,93.3,147609.93,4486,93.3
4/15/2013,613,24176,89.2,794721.156,24176,89.2,794721.156,24176,89.2,794721.156,24176,89.2,794721.156,24176,89.2,794721.156,24176,89.2,794721.156,24176,89.2,794721.156,24176,89.2,794721.156,24176,89.2,794721.156,24176,89.2,794721.156,24176,89.2,794721.156,24176,89.2,794721.156,24176,89.2,794721.156,24176,89.2,794721.156,24176,89.2,794721.156,24176,89.2,794721.156,24176,89.2,794721.156,24176,89.2
4/15/2013,693,5932,50.5,138401.815,5932,50.5,138401.815,5932,50.5,138401.815,5932,50.5,138401.815,5932,50.5,138401.815,5932,50.5,138401.815,5932,50.5,138401.815,5932,50.5,138401.815,5932,50.5,138401.815,5932,50.5,138401.815,5932,50.5,138401.815,5932,50.5,138401.815,5932,50.5,138401.815,5932,50.5,138401.815,5932,50.5,138401.815,5932,50.5,138401.815,5932,50.5,138401.815,5932,50.5
4/22/2013,511,0,1.5,21463.275,0,1.5,21463.275,0,1.5,21463.275,0,1.5,21463.275,0,1.5,21463.275,0,1.5,21463.275,0,1.5,21463.275,0,1.5,21463.275,0,1.5,21463.275,0,1.5,21463.275,0,1.5,21463.275,0,1.5,21463.275,0,1.5,21463.275,0,1.5,21463.275,0,1.5,21463.275,0,1.5,21463.275,0,1.5,21463.275,0,1.5
4/22/2013,518,1046,22,77055.88,1046,22,77055.88,1046,22,77055.88,1046,22,77055.88,1046,22,77055.88,1046,22,77055.88,1046,22,77055.88,1046,22,77055.88,1046,22,77055.88,1046,22,77055.88,1046,22,77055.88,1046,22,77055.88,1046,22,77055.88,1046,22,77055.88,1046,22,77055.88,1046,22,77055.88,1046,22,77055.88,1046,22
4/22/2013,524,9988,18.2,252200.13,9988,18.2,252200.13,9988,18.2,252200.13,9988,18.2,252200.13,9988,18.2,252200.13,9988,18.2,252200.13,9988,18.2,252200.13,9988,18.2,252200.13,9988,18.2,252200.13,9988,18.2,252200.13,9988,18.2,252200.13,9988,18.2,252200.13,9988,18.2,252200.13,9988,18.2,252200.13,9988,18.2,252200.13,9988,18.2,252200.13,9988,18.2,252200.13,9988,18.2
